Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
AS-3-DNA80.1	47.8903	0.965589	483074570.0	3647564.0	0.484089	97.8445866269519	13.144931377209144
BO-27A-DNA80.1	62.564600000000006	0.96559	3468964910.0	26226344.0	0.482263	97.70226480311833	13.771882323103329
DR-4-DNA80.1	43.4484	0.964284	245042953.0	1853538.0	0.48276	97.86739517024935	13.55373593927541
FF-28-DNA80.1	61.894400000000005	0.966978	2382017637.0	17954780.0	0.481243	98.11311228004334	13.721435783730367
HU2-DNA60.1	56.351	0.965738	1383137675.0	10438246.0	0.482118	97.90741204861226	12.85363271272365
KA-5-DNA80.1	65.8237	0.967032	5293838537.0	39878294.0	0.481585	98.02400904376537	13.971393364709897
LOST2-DNA60.1	60.6825	0.967045	2338343460.0	17614648.0	0.48192	98.10891906150412	13.144986436581663
ML4-DNA80.1	49.4122	0.964382	662446205.0	5014280.0	0.482114	97.77516399922158	13.93430827446807
MM-02-DNA80.1	64.67530000000001	0.9663	3090479952.0	23326990.0	0.482347	97.85482762155993	14.40890826232874
RA-03-DNA80.1	65.6368	0.966722	4390084878.0	33124060.0	0.480878	97.80266243379494	14.928207117814733
RA-04-DNA80.1	50.3278	0.965869	598150441.0	4518476.0	0.483476	97.9849919633881	10.665490450180378
RA-05-DNA80.1	61.1969	0.966109	2662033259.0	20108698.0	0.480866	97.78822843330877	14.026677149958209
RO2-DNA80.1	52.9587	0.965179	869807634.0	6576794.0	0.482645	97.90885036194807	10.095958740331998
SI-3-DNA80.1	66.0344	0.966241	5129520123.0	38700500.0	0.481275	97.83017992229098	13.65167890598252
SU2-DNA80.1	63.9219	0.965933	3793256697.0	28671810.0	0.481703	97.67352068704947	14.045233305065327
WB-5-DNA80.1	64.9369	0.965623	3933087955.0	29739116.0	0.484965	97.87654892432649	14.236359868869172
WETO20-003-DNA80.1	64.4674	0.966824	4435505817.0	33466820.0	0.482762	97.83968051709633	14.15023674073272
WETO22-022-DNA1.1	61.2695	0.965008	2963972218.0	22411466.0	0.485643	97.84045618522968	14.237478921584934
WETO22-022-DNA80.1	64.3966	0.966814	3930727275.0	29599782.0	0.482902	98.26567769058553	10.412048948088051
WETO22-053-DNA80.1	58.2622	0.965576	2135105877.0	16141600.0	0.485225	97.83404529740056	14.445759005416098
WETO22-065-DNA80.1	65.3648	0.966547	4791803912.0	36172998.0	0.481302	97.99858874222016	12.99616376940527
WETO22-074-DNA80.1	57.282	0.965056	1503932240.0	11379422.0	0.48111	97.93193058080716	12.064346439838598
WETO22-086-DNA80.1	50.795	0.966251	574641685.0	4333950.0	0.486093	98.16261207065253	9.553139790245776
WETO22-105-DNA80.1	60.966699999999996	0.965046	2751580173.0	20835012.0	0.482461	97.81314624829174	13.597019458866159
WETO22-127-DNA80.1	59.945499999999996	0.96483	2203187960.0	16671666.0	0.480712	97.92593967495597	12.344754143521468
