Long_m,Lat_m
-1215644.587,1774148.461
-1389088.435,1899640.186
-1282981.61,2019010.364
-1030977.901,1819039.81
-1203401.491,1599684.355
-1158510.143,1964936.694
-1024856.354,1757824.334
-1378885.855,1806796.715
-1101375.699,1655798.541
-1169732.98,1780270.008
-1188097.623,1657839.057
-1151368.337,1664980.862
-1004451.195,1811898.004
-1313589.348,2045537.07
-1200340.718,1571117.133
-1190138.138,1458888.761
-1133003.694,1847607.032
-1234009.229,1857809.611
-1120760.599,1677223.957
-1026896.87,1759864.85
-1161570.916,1521124.494
-1174834.269,1946572.051
-1312569.09,1532347.331
-1257475.162,1683345.505
-1065666.671,1803735.941
-1230948.456,1672122.668
-1305427.284,2089408.161
-1015674.032,1845566.516
-1343176.828,1722115.306
-1237070.003,1558874.038
-1160550.658,1540509.395
-1191158.396,1499699.078
-1111578.278,1610907.192
-1085051.572,1643555.446
-1349298.375,1897599.67
-1370723.792,1965956.952
-1070767.961,1699669.632
-1397250.498,1664980.862
-1242171.293,1729257.112
-1111578.278,1666001.12
-1119740.341,1687426.537
-1101375.699,1784351.04
-1363581.986,1911883.281
-1043220.997,1951673.341
-1086071.83,1688446.795
-1240130.777,1758844.592
-1017714.548,1818019.552
-1008532.227,1823120.841
-1186057.107,1677223.957
-1239110.519,1368085.805
-1114639.052,1601724.871
-1335014.764,1616008.482
-1068727.445,1711912.727
-1111578.278,1771087.687
-1266657.483,1384409.932
-1070767.961,1637433.898
-1055464.092,1711912.727
-1194219.17,1719054.533
-1188097.623,1598664.097
-1164631.69,1609886.934
-1191158.396,1750682.528
-1310528.574,1650697.251
-1312569.09,1477253.403
-1320731.153,1601724.871
-1153408.853,1995544.432
-1301346.253,2071043.518
-1215644.587,1706811.437
-1078930.024,1883316.059
-1174834.269,1574177.907
-1293184.189,2026152.169
-1196259.686,1707831.695
-1250333.356,1771087.687
-1372764.308,1926166.892
-1079950.282,1739459.691
-1341136.312,1999625.463
-1080970.54,1756804.076
-1235029.487,2025131.912
-1168712.722,1803735.941
-1337055.28,1708851.953
-1195239.428,1661920.089
-1084031.314,1746601.497
-1190138.138,1748642.013
-1136064.468,1803735.941
-1275839.804,1710892.469
-1262576.451,1374207.352
-1329913.475,1951673.341
-1186057.107,1476233.145
-1221766.134,1675183.442
-1245232.067,1501739.594
-1360521.213,1976159.531
-1170753.238,1937389.73
-1156469.627,1698649.374
-1251353.614,1690487.311
-1415615.141,1958815.146
-975883.9732,1950653.083
-1316650.122,1601724.871
-1176874.785,1643555.446
-1280941.094,2087367.645
-1422756.946,1928207.408
-1081990.798,1931268.182
-1359500.955,2031253.459
-1306447.542,2092468.935
-1230948.456,1788432.072
-1320731.153,1624170.545
-1231968.714,1387470.705
-1310528.574,1461949.534
-1301346.253,2044516.812
-1372764.308,1973098.757
-1035058.933,1850667.806
-1020775.322,1972078.499
-1387047.919,1842505.742
-1223806.65,2034314.233
-1136064.468,1669061.894
-1102395.956,1726196.338
-1250333.356,1501739.594
-1068727.445,1882295.801
-1342156.57,1581319.712
-1286042.384,2064921.971
-1102395.956,1697629.116
-1044241.254,1836384.195
-1123821.373,1895559.154
-1161570.916,1794553.619
-1003430.937,1762925.624
-1249313.098,1776188.977
-1381946.629,1646616.22
-1199320.46,1770067.429
-1171773.496,1702730.406
-1208502.781,1656818.799
-1269718.257,1396653.027
-1146267.047,1900660.444
-1142186.016,1787411.814
-1355419.923,1688446.795
-1243191.551,1603765.387
-990167.5842,1915964.313
-1197279.944,1773128.203
-1094233.893,1626211.061
-1415615.141,1992483.658
-1432959.526,1956774.63
-1213604.071,1432362.054
-1287062.642,1772107.945
-1272779.031,1499699.078
-1179935.559,1741500.207
-1011593.001,1854748.837
-1328893.217,1910863.023
-1131983.436,1925146.634
-1325832.443,1887397.091
-1134023.952,1661920.089
-1208502.781,1736398.917
-1264616.967,1454807.729
-1372764.308,1729257.112
-1341136.312,1815979.036
-1010572.743,1849647.548
-1252373.872,1452767.213
-1380926.371,1924126.376
-1053423.576,1834343.679
-1286042.384,1542549.911
-1129942.921,1811898.004
-1208502.781,1461949.534
-1108517.504,1706811.437
-1161570.916,2027172.427
-1163611.432,1799654.909
-1205442.007,1675183.442
-1122801.115,1801695.425
-1149327.821,1736398.917
-1189117.88,1535408.105
-1091173.119,1646616.22
-1058524.865,1705791.18
-1374804.824,1820060.068
-1049342.544,1695588.6
-1100355.441,1726196.338
-1177895.043,1644575.704
-1167692.464,1726196.338
-1115659.31,1837404.452
-1055464.092,1777209.235
-1148307.563,1675183.442
-1276860.062,1563975.327
-1211563.555,1698649.374
-1375825.082,1976159.531
-1028937.385,1775168.719
-1197279.944,1798634.651
-1201360.976,1863931.159
-1009552.485,1750682.528
-1360521.213,1591522.291
-1193198.912,1628251.577
-1429898.752,1956774.63
-1170753.238,1569076.617
-1312569.09,1703750.664
-1254414.388,1651717.509
-1425817.72,1918004.829
-1137084.726,2004726.753
-1209523.039,1856789.353
-1184016.591,1609886.934
-1251353.614,1616008.482
-1112598.536,2002686.237
-1240130.777,1920045.345
-1153408.853,1578258.938
-1335014.764,1722115.306
-1201360.976,1563975.327
-1067707.187,1863931.159
-1285022.126,1478273.661
-1114639.052,1654778.283
-1238090.261,1369106.063
-1277880.32,1405835.348
-1018734.806,1751702.786
-1188097.623,1637433.898
-1020775.322,1831282.905
-1373784.566,1826181.615
-1279920.836,1799654.909
-1019755.064,1858829.869
-1201360.976,1491537.014
-1195239.428,1484395.209
-1228907.94,1659879.573
-1140145.5,1575198.164
-1344197.086,1726196.338
-1309508.316,1744560.981
-1084031.314,1664980.862
-1141165.758,1654778.283
-1068727.445,1807816.972
-1207482.523,1654778.283
-1369703.534,1839444.968
-1326852.701,1698649.374
-1290123.416,1432362.054
-1092193.377,1626211.061
-1267677.741,1469091.34
-1215644.587,1560914.553
-1110558.02,1804756.199
-1009552.485,1749662.27
-1067707.187,1696608.858
-1359500.955,2011868.558
-1287062.642,1536428.363
-985066.2945,1861890.643
-1263596.709,1376247.868
-1268697.999,1709872.211
-1350318.633,1673142.926
-1234009.229,1444605.149
-1392149.208,1972078.499
-1223806.65,1882295.801
-1311548.832,1623150.287
-1312569.09,1480314.177
-1244211.809,1531327.074
-977924.489,1824141.099
-1313589.348,1541529.653
-1105456.73,1611927.45
-1109537.762,1723135.564
-1324812.185,1731297.628
-1235029.487,1732317.886
-1275839.804,1600704.613
-974863.7152,1895559.154
-1057504.608,1866991.932
-1242171.293,1919025.087
-1097294.667,1715993.759
-1145246.789,1969017.725
-1288082.9,1970037.983
-1187077.365,1563975.327
-1205442.007,1486435.725
-1051383.06,1683345.505
-1278900.578,1835363.937
-1065666.671,1736398.917
-1043220.997,1874133.738
-1310528.574,1627231.319
-1169732.98,1758844.592
-1219725.618,1413997.412
-1141165.758,1639474.414
-1129942.921,1592542.549
-1107497.246,1772107.945
-1043220.997,1682325.247
