Long_m,Lat_m
-1978797.518,1394612.511
-1502337.065,1393592.253
-1872690.693,1944531.535
-1631909.822,1438483.602
-1555390.477,1325234.972
-1630889.564,2005747.011
-2119593.112,2719927.562
-1739036.905,1527246.042
-1853305.793,1945551.793
-1812495.476,1546630.942
-1717611.488,1317072.908
-1789029.543,1383389.674
-1917582.042,1342579.357
-1502337.065,1997584.947
-2045114.284,1488476.24
-1925744.106,1481334.435
-1577836.152,1510921.915
-1757401.547,1428281.023
-2018587.577,1488476.24
-1762502.837,1571117.133
-1941047.975,1399713.801
-1528863.771,1427260.765
-1631909.822,2053699.134
-1816576.507,1493577.53
-1411534.109,1549691.716
-1948189.78,1329316.003
-1754340.774,1710892.469
-1676801.171,1392571.995
-1465607.779,1671102.41
-1855346.309,1422159.475
-1493154.744,1289525.944
-1870650.178,1426240.507
-1985939.324,1441544.376
-1761482.579,1453787.471
-1914521.269,1765986.397
-1472749.585,1430321.538
-2045114.284,1564995.585
-1732915.357,1400734.059
-1926764.364,1791492.846
-2023688.867,1454807.729
-2099187.954,1548671.458
-1972675.971,1345640.13
-1504377.581,1749662.27
-1627828.79,1655798.541
-2015526.804,1406855.606
-1940027.717,1352781.936
-1577836.152,2063901.713
-1423777.204,1224229.437
-1436020.299,1277282.849
-1513559.902,1273201.817
-1404392.304,1224229.437
-1665578.334,1569076.617
-1462547.006,1245654.853
-1765563.611,1303809.555
-1679861.945,2204697.307
-1952270.812,1478273.661
-1708429.167,2124096.931
-1733935.615,1351761.678
-1494175.001,1246675.111
-1700267.103,1461949.534
-1371744.05,1385430.19
-1590079.247,1323194.456
-1721692.52,1311971.619
-2030830.673,1482354.693
-1677821.429,1303809.555
-1438060.815,1245654.853
-1545187.898,1330336.261
-1470709.069,1516023.205
-1827799.344,1536428.363
-1459486.232,1512962.431
-1757401.547,1420118.959
-1695165.814,2558726.809
-1812495.476,1390531.479
-1923703.59,1345640.13
-1943088.491,1322174.198
-1526823.255,1849647.548
-1976757.002,1459909.018
-2009405.256,1376247.868
-2026749.641,1473172.372
-1795151.091,1449706.439
-1743117.936,1322174.198
-2015526.804,1385430.19
-1806373.928,1547651.2
-1522742.223,1272181.559
-1691084.782,1793533.361
-1721692.52,1332376.777
-1823718.313,1800675.167
-1635990.854,1269120.786
-2027769.899,1456848.245
-1703327.877,1350741.42
-1820657.539,1424199.991
-1917582.042,1315032.392
-1921663.074,1351761.678
-1515600.418,1597643.839
-1592119.763,1293606.976
-1827799.344,1381349.158
-1569674.088,2087367.645
-1713530.456,1314012.134
-1463567.264,1492557.272
-1696186.072,1503780.109
-1995121.645,1919025.087
-1739036.905,1329316.003
-2009405.256,1476233.145
-1865548.888,1934328.956
-1595180.537,1301769.039
-1660477.044,1330336.261
-1924723.848,1383389.674
-1538046.092,1546630.942
-2027769.899,1413997.412
-1505397.839,1305850.071
-1751280,1683345.505
-1832900.634,1454807.729
-1990020.355,1760885.108
-1665578.334,1388490.963
-1722712.778,1456848.245
-1764543.353,1453787.471
-1392149.208,1362984.515
-1669659.365,1403794.832
-1944108.748,1381349.158
-1644152.917,1491537.014
-1484992.68,1383389.674
-1557430.993,1995544.432
-1501316.807,1953713.856
-1809434.702,1407875.864
-1402351.788,1292586.718
-1973696.228,2198575.76
-1859427.34,1435422.828
-1908399.721,1520104.236
-1870650.178,1523165.01
-1736996.389,1368085.805
-1902278.173,1373187.094
-1443162.105,1369106.063
-1616605.953,1281363.881
-1926764.364,1984321.594
-1932885.911,1304829.813
-1560491.767,1508881.399
-1661497.302,1761905.366
-1977777.26,1331356.519
-1766583.869,1399713.801
-1344197.086,1239533.306
-1830860.118,1442564.634
-1773725.674,1302789.297
-1941047.975,1290546.202
-1824738.571,1402774.574
-1844123.471,1347680.646
-1796171.349,1542549.911
-1954311.328,1455827.987
-1553349.961,1559894.296
-1346237.602,1226269.953
-1537025.835,1293606.976
-1657416.27,1344619.872
-1695165.814,1882295.801
-1709449.425,1300748.781
-1822698.055,1355842.71
-1980838.034,1613967.966
-1675780.913,2505673.396
-1611504.663,1448686.181
-1580896.925,1993503.916
-1459486.232,2157765.442
-1606403.374,2250608.914
-1669659.365,1424199.991
-1615585.695,1325234.972
-1915541.526,1361964.257
-1382966.887,1270141.044
-1490093.97,2055739.649
-1476830.617,1674163.184
-1815556.249,1453787.471
-1684963.234,1949632.825
-1857386.824,1528266.3
-1588038.731,1321153.94
-1918602.3,1385430.19
-1385007.403,1400734.059
-1547228.414,1332376.777
-1731895.099,1808837.23
-1818617.023,1356862.968
-2070620.732,1611927.45
-1779847.222,1503780.109
-1424797.462,1478273.661
-1617626.211,1494597.788
-1769644.642,1926166.892
-1735976.131,1905761.734
-1780867.48,1456848.245
-1680882.203,1589481.776
-1488053.454,1686406.279
