"scientificName","coordinateUncertaintyInMeters","publishingCountry","stateProvince","year","references","gbifID","Species_name","Latitude_WGS84","Longitude_WGS84","Id","Long_m","Lat_m"
"Anaxyrus boreas (Baird & Girard, 1852)",5,"CA","Alberta",2024,"https://www.inaturalist.org/observations/212993489",4863590933,"Western toad",53.646694,-112.824921,0,-1061764.61770215,1700384.04476572
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","Alberta",2024,"https://www.inaturalist.org/observations/213890634",4855305467,"Western toad",53.067603,-114.828383,0,-1199891.83395727,1658200.7831095
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","Alberta",2024,"https://www.inaturalist.org/observations/215019492",4863570933,"Western toad",51.163353,-115.70565,0,-1300863.53416637,1452151.55951868
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","Alberta",2024,"https://www.inaturalist.org/observations/215019710",4863574114,"Western toad",51.160161,-115.701788,0,-1300689.35055163,1451733.02184548
"Anaxyrus boreas boreas",9,"US","Alberta",2024,"https://www.inaturalist.org/observations/215222068",4863927405,"Western toad",53.624417,-112.920913,0,-1068216.96840307,1698918.60148537
"Anaxyrus boreas boreas",669,"CA","Alberta",2024,"https://www.inaturalist.org/observations/215364564",4863804080,"Western toad",52.001816,-116.691288,0,-1343696.60649117,1561692.32300425
"Anaxyrus boreas boreas",9,"CA","Alberta",2024,"https://www.inaturalist.org/observations/218523498",4872284362,"Western toad",54.191238,-113.5253,0,-1093869.28114132,1770418.0255908
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","Alberta",2024,"https://www.inaturalist.org/observations/220045843",4875561014,"Western toad",53.066325,-114.828567,0,-1199932.72974963,1658057.41475659
"Anaxyrus boreas (Baird & Girard, 1852)",174,"CA","Alberta",2024,"https://www.inaturalist.org/observations/222132570",4901132247,"Western toad",53.566958,-113.829287,0,-1126149.05033469,1702875.89532344
"Anaxyrus boreas (Baird & Girard, 1852)",201,"US","Alberta",2024,"https://www.inaturalist.org/observations/222376118",4921465318,"Western toad",53.596191,-112.858496,0,-1064897.67556811,1694992.96176585
"Anaxyrus boreas (Baird & Girard, 1852)",174,"CA","Alberta",2024,"https://www.inaturalist.org/observations/222555504",4901010558,"Western toad",53.568042,-113.829051,0,-1126110.79863817,1702996.67937163
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","Alberta",2024,"https://www.inaturalist.org/observations/223369983",4901194365,"Western toad",53.681945,-114.650703,0,-1174767.95997852,1725940.31365506
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","Alberta",2024,"https://www.inaturalist.org/observations/223377304",4901101243,"Western toad",53.681683,-114.644737,0,-1174402.97210627,1725836.58675348
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","Alberta",2024,"https://www.inaturalist.org/observations/223901600",4901228442,"Western toad",55.348316,-114.747182,0,-1142931.13710006,1915956.37458247
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","Alberta",2024,"https://www.inaturalist.org/observations/224452356",4901765799,"Western toad",53.597443,-116.344107,0,-1281946.95386067,1738285.37267606
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","Alberta",2024,"https://www.inaturalist.org/observations/224781104",4901188715,"Western toad",51.04817,-114.867058,0,-1248919.29319554,1427668.72805235
"Anaxyrus boreas boreas",8,"CA","Alberta",2024,"https://www.inaturalist.org/observations/224792200",4901893400,"Western toad",53.711135,-114.66925,0,-1175258.56327216,1729490.69663409
"Anaxyrus boreas (Baird & Girard, 1852)",2,"US","Alberta",2024,"https://www.inaturalist.org/observations/224990998",4901314279,"Western toad",51.153396,-115.61344,0,-1295103.01962246,1449748.62972693
"Anaxyrus boreas (Baird & Girard, 1852)",177,"US","Alberta",2024,"https://www.inaturalist.org/observations/225370899",4904216944,"Western toad",51.076574,-115.053582,0,-1260436.65152545,1433396.41797564
"Anaxyrus boreas (Baird & Girard, 1852)",5,"US","Alberta",2024,"https://www.inaturalist.org/observations/225398572",4904259287,"Western toad",50.928882,-115.164463,0,-1271144.03830687,1417933.67103989
"Anaxyrus boreas (Baird & Girard, 1852)",592,"US","Alberta",2024,"https://www.inaturalist.org/observations/225421076",4904043363,"Western toad",56.207807,-119.358793,0,-1394871.77764709,2073990.80703288
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","Alberta",2024,"https://www.inaturalist.org/observations/225438306",4904226225,"Western toad",53.158589,-117.466942,0,-1362963.26865129,1704211.28556127
"Anaxyrus boreas (Baird & Girard, 1852)",174,"CA","Alberta",2024,"https://www.inaturalist.org/observations/225845422",4904143675,"Western toad",53.567851,-113.829094,0,-1126117.62694793,1702975.41417298
"Anaxyrus boreas (Baird & Girard, 1852)",7,"US","Alberta",2024,"https://www.inaturalist.org/observations/226338840",4903993740,"Western toad",50.867923,-115.343116,0,-1284276.38677658,1413348.50313269
"Anaxyrus boreas (Baird & Girard, 1852)",7,"US","Alberta",2024,"https://www.inaturalist.org/observations/253193702",4987671012,"Western toad",55.425161,-114.824008,0,-1145808.95794293,1925553.22722313
"Anaxyrus boreas (Baird & Girard, 1852)",10,"LU","Alberta",2024,"https://www.inaturalist.org/observations/226731349",4908595826,"Western toad",51.18135,-115.583225,0,-1292465.3171128,1452538.23215126
"Anaxyrus boreas (Baird & Girard, 1852)",174,"CA","Alberta",2024,"https://www.inaturalist.org/observations/226799540",4908689432,"Western toad",53.567086,-113.829201,0,-1126140.90505925,1702889.46708985
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","Alberta",2024,"https://www.inaturalist.org/observations/226992350",4908347672,"Western toad",51.198453,-115.480775,0,-1285391.04286233,1453104.4821024
"Anaxyrus boreas (Baird & Girard, 1852)",7,"CA","Alberta",2024,"https://www.inaturalist.org/observations/227004772",4909150081,"Western toad",54.440687,-118.071267,0,-1366350.45854971,1857654.72136796
"Anaxyrus boreas (Baird & Girard, 1852)",15,"CA","Alberta",2024,"https://www.inaturalist.org/observations/227317286",4908320930,"Western toad",52.5129,-116.193445,0,-1299261.35126303,1612981.75584538
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","Alberta",2024,"https://www.inaturalist.org/observations/227805583",4908908820,"Western toad",54.33537,-112.913442,0,-1053133.09583662,1779891.9692386
"Anaxyrus boreas (Baird & Girard, 1852)",124,"CA","Alberta",2024,"https://www.inaturalist.org/observations/228123280",4909277332,"Western toad",54.484556,-118.122056,0,-1368264.702541,1863321.35480899
"Anaxyrus boreas (Baird & Girard, 1852)",614,"CA","Alberta",2024,"https://www.inaturalist.org/observations/228150079",4908425034,"Western toad",53.17455,-114.459515,0,-1174279.59906865,1665776.36338772
"Anaxyrus boreas (Baird & Girard, 1852)",35,"CA","Alberta",2024,"https://www.inaturalist.org/observations/228150203",4908833716,"Western toad",53.174115,-114.460065,0,-1174323.92768613,1665733.56692927
"Anaxyrus boreas (Baird & Girard, 1852)",35,"CA","Alberta",2024,"https://www.inaturalist.org/observations/228150322",4908266446,"Western toad",53.174114,-114.46007,0,-1174324.26421989,1665733.51482221
"Anaxyrus boreas (Baird & Girard, 1852)",3,"US","Alberta",2024,"https://www.inaturalist.org/observations/228379629",4908485928,"Western toad",55.248463,-114.166672,0,-1110170.85459787,1897779.60949102
"Anaxyrus boreas (Baird & Girard, 1852)",6,"US","Alberta",2024,"https://www.inaturalist.org/observations/228865553",4909056826,"Western toad",53.386194,-117.588148,0,-1364554.95625963,1731722.84507961
"Anaxyrus boreas boreas",8,"CA","Alberta",2024,"https://www.inaturalist.org/observations/228963235",4908463110,"Western toad",53.471768,-117.795564,0,-1375170.10684368,1744398.17847128
"Anaxyrus boreas (Baird & Girard, 1852)",101,"CA","Alberta",2024,"https://www.inaturalist.org/observations/228963932",4908564430,"Western toad",53.472736,-117.793877,0,-1375039.93863978,1744483.13800423
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","Alberta",2024,"https://www.inaturalist.org/observations/229687255",4908980706,"Western toad",50.925925,-115.186692,0,-1272667.88577189,1417892.66497213
"Anaxyrus boreas (Baird & Girard, 1852)",6,"US","Alberta",2024,"https://www.inaturalist.org/observations/229993740",4910963730,"Western toad",50.87412,-115.145758,0,-1271206.87982186,1411399.39250783
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","Alberta",2024,"https://www.inaturalist.org/observations/230378801",4910965856,"Western toad",55.620195,-114.629412,0,-1129738.8951647,1945207.71592661
"Anaxyrus boreas (Baird & Girard, 1852)",6,"ES","Alberta",2024,"https://www.inaturalist.org/observations/230494609",4911132849,"Western toad",51.24589,-115.840192,0,-1307608.94433518,1463452.02850257
